id,pixel_00,pixel_01,pixel_02,pixel_03,pixel_04,pixel_05,pixel_06,pixel_07,pixel_08,pixel_09,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
img_0000,0,0,6,15,14,2,0,0,0,5,16,11,14,12,0,0,0,5,11,3,16,5,0,0,0,0,0,14,16,7,0,0,0,0,0,8,10,16,3,0,0,1,4,0,0,12,7,0,0,7,16,5,6,16,5,0,0,1,8,15,16,12,1,0
img_0001,0,0,0,7,15,1,0,0,0,0,0,15,16,1,0,0,0,0,9,16,16,2,0,0,0,2,16,16,16,0,0,0,0,10,16,16,16,16,8,0,0,8,15,15,14,8,5,0,0,0,0,11,12,0,0,0,0,0,0,6,15,1,0,0
img_0002,0,0,0,0,7,15,1,0,0,0,0,0,11,16,0,0,0,0,0,0,16,14,0,0,0,0,0,10,16,15,0,0,0,0,12,16,16,11,0,0,0,5,16,6,15,12,0,0,0,0,1,0,12,16,0,0,0,0,0,0,4,15,4,0
img_0003,0,0,7,13,16,5,0,0,0,6,15,7,6,14,0,0,0,9,5,1,10,9,0,0,0,0,0,8,16,5,0,0,0,0,0,1,6,15,1,0,0,0,0,0,0,1,12,0,0,0,4,5,2,5,13,0,0,0,6,12,16,14,5,0
img_0004,0,0,2,10,16,13,0,0,0,3,16,8,2,16,1,0,0,8,13,0,2,16,6,0,0,6,16,12,16,16,7,0,0,0,2,4,8,12,1,0,0,0,0,1,15,3,0,0,0,0,0,9,10,0,0,0,0,0,1,16,3,0,0,0
img_0005,0,0,7,14,8,4,0,0,0,0,16,8,15,14,1,0,0,4,16,4,0,8,4,0,0,8,14,0,0,4,4,0,0,8,16,0,0,4,5,0,0,3,16,1,0,11,4,0,0,0,15,16,16,12,0,0,0,0,6,13,7,0,0,0
img_0006,0,0,7,7,13,16,4,0,0,0,13,13,6,12,7,0,0,0,10,4,10,11,1,0,0,0,8,16,10,0,0,0,0,3,14,16,0,0,0,0,0,8,8,11,5,0,0,0,0,4,10,9,8,0,0,0,0,1,11,16,6,0,0,0
img_0007,0,0,0,3,13,1,0,0,0,0,0,8,16,3,0,0,0,0,1,15,16,4,0,0,0,0,8,16,16,1,0,0,0,2,16,14,16,5,1,0,0,11,16,16,16,16,10,0,0,5,8,11,16,4,1,0,0,0,0,2,16,2,0,0
img_0008,0,2,6,10,12,1,0,0,0,14,13,10,5,1,0,0,0,10,6,0,0,0,0,0,0,10,13,12,12,5,0,0,0,2,8,5,7,14,8,0,0,0,0,0,0,5,12,0,0,0,2,2,1,10,10,0,0,0,5,16,16,14,1,0
img_0009,0,0,13,13,1,0,0,0,0,7,16,13,12,13,0,0,0,8,13,1,15,16,4,0,0,4,15,13,15,15,10,0,0,0,6,11,3,9,13,0,0,0,0,0,0,5,16,0,0,1,7,0,1,9,15,1,0,1,13,16,16,16,6,0
img_0010,0,0,7,13,11,1,0,0,0,6,14,12,14,9,0,0,0,5,14,3,10,9,0,0,0,0,8,15,14,2,0,0,0,0,1,14,16,6,0,0,0,0,9,9,3,15,4,0,0,0,12,5,1,11,8,0,0,0,7,16,16,9,1,0
img_0011,0,0,6,15,12,5,0,0,0,0,8,16,16,13,1,0,0,0,8,16,16,12,0,0,0,0,8,16,16,10,0,0,0,0,16,16,16,5,0,0,0,5,16,16,16,1,0,0,0,3,15,16,16,2,0,0,0,0,10,16,15,3,0,0
img_0012,0,1,12,16,13,2,0,0,0,5,14,6,13,12,0,0,0,0,0,3,15,7,0,0,0,0,2,16,8,0,0,0,0,0,1,12,16,11,1,0,0,0,0,0,5,15,7,0,0,0,6,0,4,14,7,0,0,0,16,16,15,8,1,0
img_0013,0,0,1,14,16,16,15,1,0,0,11,14,8,13,11,0,0,0,15,6,0,14,3,0,0,0,5,1,5,13,1,0,0,0,0,13,16,16,9,0,0,0,2,16,15,9,1,0,0,0,0,11,9,0,0,0,0,0,3,16,2,0,0,0
img_0014,0,0,5,14,14,8,2,0,0,3,15,3,0,13,8,0,0,5,12,0,2,15,8,0,0,2,15,9,14,14,8,0,0,0,1,3,0,12,5,0,0,0,0,0,0,12,4,0,0,6,15,2,0,14,1,0,0,1,7,14,12,9,0,0
img_0015,0,0,4,13,16,16,16,10,0,0,11,15,12,13,16,5,0,0,0,0,0,12,11,0,0,0,1,0,5,15,2,0,0,0,14,13,15,15,6,0,0,0,15,16,15,9,2,0,0,0,1,16,7,0,0,0,0,0,6,14,2,0,0,0
img_0016,0,0,8,12,15,16,5,0,0,0,10,11,2,3,0,0,0,0,13,5,0,0,0,0,0,2,16,10,12,11,1,0,0,1,16,13,8,14,7,0,0,0,1,0,0,13,3,0,0,0,1,6,12,10,0,0,0,0,10,10,7,0,0,0
img_0017,0,0,10,16,13,12,15,5,0,4,16,8,12,16,6,0,0,6,12,2,16,7,0,0,0,1,5,9,14,1,0,0,0,1,7,16,12,2,0,0,0,8,16,16,12,5,0,0,0,1,11,10,0,0,0,0,0,0,14,6,0,0,0,0
img_0018,0,0,0,9,15,9,0,0,0,0,8,15,5,12,2,0,0,0,15,15,3,13,3,0,0,0,11,16,16,13,0,0,0,4,16,10,15,0,0,0,0,3,12,0,8,7,0,0,0,0,12,8,10,11,0,0,0,0,0,9,13,4,0,0
img_0019,0,0,0,1,13,13,0,0,0,0,4,15,15,16,0,0,0,8,16,10,6,14,0,0,0,10,6,0,8,13,0,0,0,0,0,0,10,13,0,0,0,0,0,0,13,9,0,0,0,0,0,0,14,7,0,0,0,0,0,0,16,7,0,0
img_0020,0,1,12,13,13,0,0,0,0,4,11,6,3,0,0,0,0,7,11,8,6,1,0,0,0,5,15,12,13,12,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,8,8,0,0,2,10,8,7,15,3,0,0,1,13,16,12,5,0,0
img_0021,0,0,7,14,16,8,0,0,0,0,14,14,16,14,0,0,0,0,0,0,10,12,0,0,0,0,4,4,14,9,2,0,0,7,16,16,16,16,7,0,0,6,12,16,11,1,0,0,0,0,2,16,3,0,0,0,0,0,6,13,0,0,0,0
img_0022,0,0,2,11,12,1,0,0,0,2,14,9,9,8,0,0,0,10,12,0,13,6,0,0,0,6,5,2,13,2,0,0,0,0,0,10,9,0,0,0,0,0,0,1,10,9,1,0,0,0,6,7,0,12,6,0,0,0,1,12,16,16,5,0
